01/1881,18.47
02/1881,18.15
03/1881,18.27
04/1881,17.95
05/1881,18.87
06/1881,19.03
07/1881,18.12
08/1881,17.29
09/1881,16.72
1/1881,16.26
11/1881,16.48
12/1881,15.96
01/1882,15.68
02/1882,15.15
03/1882,15.09
04/1882,14.92
05/1882,14.57
06/1882,14.33
07/1882,15.24
08/1882,15.53
09/1882,16.08
1/1882,15.76
11/1882,15.19
12/1882,15.38
01/1883,15.27
02/1883,14.76
03/1883,15.05
04/1883,15.48
05/1883,15.34
06/1883,15.90
07/1883,15.95
08/1883,15.20
09/1883,15.49
1/1883,15.05
11/1883,15.41
12/1883,14.90
01/1884,14.43
02/1884,14.81
03/1884,14.74
04/1884,14.35
05/1884,13.47
06/1884,12.91
07/1884,13.04
08/1884,13.86
09/1884,13.57
1/1884,13.27
11/1884,13.30
12/1884,13.43
01/1885,13.13
02/1885,13.38
03/1885,13.73
04/1885,13.55
05/1885,13.71
06/1885,13.98
07/1885,14.33
08/1885,15.13
09/1885,15.12
1/1885,15.99
11/1885,16.82
12/1885,16.30
01/1886,16.69
02/1886,17.01
03/1886,16.84
04/1886,16.80
05/1886,16.86
06/1886,17.83
07/1886,17.85
08/1886,17.72
09/1886,18.15
1/1886,18.56
11/1886,18.97
12/1886,18.19
01/1887,17.51
02/1887,17.13
03/1887,17.47
04/1887,17.82
05/1887,18.08
06/1887,17.71
07/1887,17.43
08/1887,16.74
09/1887,16.68
1/1887,15.88
11/1887,15.95
12/1887,15.46
01/1888,15.36
02/1888,15.42
03/1888,14.81
04/1888,15.02
05/1888,15.39
06/1888,15.08
07/1888,15.28
08/1888,15.60
09/1888,15.99
1/1888,15.72
11/1888,15.22
12/1888,14.95
01/1889,15.80
02/1889,16.19
03/1889,16.07
04/1889,16.05
05/1889,16.92
06/1889,17.22
07/1889,16.89
08/1889,17.13
09/1889,17.35
1/1889,17.05
11/1889,16.91
12/1889,16.61
01/1890,17.22
02/1890,17.03
03/1890,16.90
04/1890,17.26
05/1890,17.79
06/1890,17.68
07/1890,17.59
08/1890,16.60
09/1890,16.17
1/1890,15.48
11/1890,14.75
12/1890,14.44
01/1891,15.43
